Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Treveon Graham,SF,26,TOT,55,20,16.9,1.6,4.4,0.6,2.2,1.0,2.2,0.7,1.0,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
Treveon Graham,SF,26,MIN,33,20,20.1,1.9,5.3,0.6,2.5,1.3,2.8,0.8,1.1,0.9,2.2,3.0,0.9,0.5,0.1,0.6,2.0,5.2
Treveon Graham,SF,26,ATL,22,0,12.1,1.1,3.0,0.6,1.7,0.5,1.4,0.4,0.9,1.0,1.3,2.3,0.7,0.3,0.2,0.5,1.6,3.3
Jerami Grant,PF,25,DEN,71,24,26.6,4.3,8.9,1.4,3.5,2.9,5.4,2.1,2.8,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0
Jerian Grant,SG,27,WAS,6,0,13.3,1.7,4.5,0.3,1.3,1.3,3.2,0.8,1.2,0.3,0.7,1.0,1.5,0.2,0.2,0.5,1.8,4.5
Josh Gray,PG,26,NOP,2,0,11.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0
Danny Green,SG,32,LAL,68,68,24.8,2.9,7.0,1.8,4.8,1.1,2.2,0.5,0.7,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0
Draymond Green,PF,29,GSW,43,43,28.4,2.9,7.3,0.8,3.0,2.0,4.3,1.5,1.9,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
JaMychal Green,PF,29,LAC,63,1,20.7,2.4,5.6,1.5,3.8,0.9,1.8,0.6,0.8,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8
Javonte Green,SG,26,BOS,48,2,9.8,1.3,2.6,0.2,0.7,1.1,1.9,0.6,0.9,0.5,1.4,1.9,0.5,0.5,0.2,0.5,0.9,3.4
Jeff Green,PF,33,UTA,30,2,18.4,2.5,6.5,1.1,3.5,1.4,3.0,1.6,2.1,0.5,2.2,2.7,0.7,0.4,0.3,0.9,1.5,7.8
